Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Cluster_381,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Cassidulinidae;Islandiella;Islandiella_sp.;,57.92,Candidate novel taxon,524,0.33,45
Cluster_474,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Spizellomycetales;Spizellomycetaceae;Spizellomyces;Spizellomyces_pseudodichotomus;,70.11,Low confidence / possible divergent,517,0.33,72
Cluster_693,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_polaris;,71.38,Low confidence / possible divergent,514,0.33,35
Cluster_769,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Apostomatia_X;Apostomatia_XX;Apostomatia_XX_sp.;,80.96,Confident match,485,0.31,46
Cluster_975,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,80.94,Confident match,480,0.31,25
Cluster_494,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Ulvophyceae:plas;Bryopsidales:plas;Ostreobiaceae:plas;Ostreobium:plas;Ostreobium_sp.:plas;,76.74,Low confidence / possible divergent,477,0.3,45
Cluster_754,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Apostomatia_X;Apostomatia_XX;Apostomatia_XX_sp.;,79.41,Low confidence / possible divergent,475,0.3,29
Cluster_431,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_1;PHYLL_4;PHYLL_4_X;PHYLL_4_X_sp.;,59.48,Candidate novel taxon,473,0.3,49
Cluster_785,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Paecilomyces;Paecilomyces_nostocoides;,62.45,Candidate novel taxon,468,0.3,35
Cluster_644,Eukaryota;Obazoa;Opisthokonta;Fungi;Rozellomycota;Rozellomycota_X;Rozellomycota_XX;Rozellomycota_XXX;Rozellomycota_XXX_sp.;,67.09,Low confidence / possible divergent,467,0.3,41
Cluster_988,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,78.71,Low confidence / possible divergent,467,0.3,24
Cluster_522,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Opalinata;Blastocystis-Group;Blastocystis;Blastocystis_sp.;,69.19,Low confidence / possible divergent,462,0.29,86
Cluster_289,Eukaryota;Archaeplastida;Picozoa;Picozoa_subdivision_2;Picozoa_subdivision_2_X;Picozoa_subdivision_2_XX;Picozoa_subdivision_2_XXX;Picozoa_subdivision_2_XXXX;Picozoa_subdivision_2_XXXX_sp.;,75.58,Low confidence / possible divergent,458,0.29,75
Cluster_207,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Globigerinidae;Turborotalita;Turborotalita_quinqueloba;,79.45,Low confidence / possible divergent,424,0.27,26
Cluster_369,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,58.79,Candidate novel taxon,409,0.26,37
Cluster_993,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales;Zygorhizidiaceae;Zygorhizidium;Zygorhizidium_sp.;,77.13,Low confidence / possible divergent,408,0.26,17
Cluster_386,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymena;Tetrahymena_shanghaiensis;,41.18,Candidate novel taxon,399,0.25,99
Cluster_659,Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Glomeromycotina;Glomerales;Glomus;Glomus_sp.;,74.98,Low confidence / possible divergent,399,0.25,49
Cluster_681,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Adeleida;Hepatozoidae;Hepatozoon;Hepatozoon_sp.;,78.77,Low confidence / possible divergent,395,0.25,29
Cluster_566,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Spizellomycetales;Spizellomycetaceae;Spizellomyces;Spizellomyces_pseudodichotomus;,71.07,Low confidence / possible divergent,392,0.25,52
